14,0,18,9,-0.2516,0,0.0061,0.8718,0.1282,0.9939
14,0,12,3,-0.4711,0,0.0260,0.3119,0.6881,0.9740
14,0,15,6,-0.9943,1,0.0047,0.5762,0.4238,0.9953
14,0,8,8,-0.8897,0,0.0093,0.3119,0.6881,0.9907
14,0,17,8,-0.9957,1,0.0013,0.5762,0.4238,0.9987
14,0,5,5,-0.8997,1,0.0003,0.7603,0.2397,0.9997
14,0,2,2,-0.7103,1,0.0001,0.8638,0.1362,0.9999
14,0,11,2,-0.5442,1,0.0000,0.9269,0.0731,1.0000
14,0,14,5,-0.4051,1,0.0000,0.9673,0.0327,1.0000
14,0,4,4,-0.2433,1,0.0000,0.9821,0.0179,1.0000
14,0,7,7,-0.1545,1,0.0000,0.9853,0.0147,1.0000
14,0,16,7,-0.1325,1,0.0000,0.9879,0.0121,1.0000
15,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
15,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
15,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
15,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
15,0,12,3,-0.2516,1,0.8718,0.0061,0.9939,0.1282
15,0,18,9,-0.4711,0,0.9429,0.0016,0.9984,0.0571
15,0,15,6,-0.3335,0,0.9802,0.0003,0.9997,0.0198
15,0,2,2,-0.1637,0,0.9933,0.0000,1.0000,0.0067
16,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
16,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
16,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
16,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
16,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
17,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
17,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
17,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
17,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
17,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
18,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
18,0,6,6,-0.8680,1,0.1262,0.7105,0.2895,0.8738
18,0,9,9,-0.7251,1,0.0095,0.9141,0.0859,0.9905
18,0,3,3,-0.3849,1,0.0025,0.9627,0.0373,0.9975
18,0,18,9,-0.2516,1,0.0002,0.9911,0.0089,0.9998
19,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
19,0,6,6,-0.8680,0,0.7105,0.1262,0.8738,0.2895
19,0,3,3,-0.7251,0,0.9141,0.0095,0.9905,0.0859
19,0,9,9,-0.3849,0,0.9627,0.0025,0.9975,0.0373
19,0,12,3,-0.2516,1,0.8718,0.0061,0.9939,0.1282
19,0,18,9,-0.4711,0,0.9429,0.0016,0.9984,0.0571
19,0,15,6,-0.3335,0,0.9802,0.0003,0.9997,0.0198
19,0,2,2,-0.1637,0,0.9933,0.0000,1.0000,0.0067
20,-1,-1,-1,-1.0000,0,0.4500,0.4500,0.5500,0.5500
